ra,dec,class,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroRad_r,extinction_r
206.243655586956,0.406355758662351,Galaxy,22.95969,21.38658,19.96422,19.43713,18.97637,22.52462,20.29726,18.78461,18.24907,17.83888,3.842096,0.07889055
206.735601032855,0.316228355577413,Galaxy,20.24276,18.34555,17.50976,17.10661,16.73821,18.80451,17.02711,16.08087,15.65886,15.36215,5.820254,0.07862123
204.509210135407,1.63556434096435,Star,19.48633,18.56125,18.27617,18.17665,18.0938,19.46849,18.62753,18.32506,18.22853,18.18553,1.423665,0.06913444
205.613034613275,1.26544828041596,Galaxy,23.15209,22.5522,20.97667,19.92616,19.44727,25.69439,21.08627,19.97237,18.93688,18.20863,5.426502,0.0813193
205.623656137085,0.291963993274999,Galaxy,22.60589,20.77202,19.23586,18.76089,18.38354,21.1394,19.75515,18.21366,17.66672,17.34564,3.660546,0.08056989
205.645119156548,0.428323448028374,Galaxy,21.74659,20.40223,19.70193,19.36739,19.09535,19.41517,18.10767,17.47367,17.13294,16.95099,5.865085,0.08641449
205.681735849734,1.28035183046568,Galaxy,25.99044,21.86592,20.25035,19.46102,19.11001,18.94274,20.98801,19.02046,18.36214,18.20301,5.158446,0.08160891
206.54017968332,0.721722376200597,Galaxy,22.43923,20.32658,18.96001,18.54301,18.07824,21.3157,19.01289,17.70177,17.20469,16.89137,4.364125,0.08335896
206.555766711706,0.825167968742761,Quasar,20.29788,19.66504,19.68942,19.6966,19.62883,20.21775,19.67748,19.70787,19.79982,19.68108,1.473488,0.08281923
206.565703376966,0.22579074368386,Star,18.29356,16.76115,16.3541,16.19142,16.11052,18.06461,16.56218,16.01607,15.84824,15.7784,1.655543,0.07672486
202.78945851264,1.03981919194239,Galaxy,24.02964,21.67099,19.9171,19.31469,18.91608,21.43669,20.81276,19.21659,18.53638,18.23685,2.911158,0.07868985
202.791111987516,1.49641679445576,Star,19.73053,18.65032,18.21141,18.26219,18.0258,19.80998,18.70188,18.29138,18.22971,18.05652,1.047253,0.06963792
202.849559434328,0.905005768608098,Galaxy,25.09236,22.14259,20.62081,19.85679,19.47109,21.66583,21.55613,20.04569,19.15967,18.9201,2.349784,0.08096247
202.864155606879,1.52227544102772,Star,21.58091,19.83148,19.04126,18.83458,19.00054,21.57084,21.73812,19.05537,18.83324,19.49224,1.082807,0.06896394
206.608536621304,1.30001792869741,Galaxy,22.24029,21.05659,19.59952,18.94658,18.59426,21.08197,19.71609,18.23599,17.63901,17.27201,5.506557,0.0712509
206.618870154894,0.115946470957122,Galaxy,23.86519,22.27062,20.77958,19.9353,19.53662,21.19201,21.31028,19.57328,18.88762,18.51148,3.795636,0.07378817
203.537490314603,0.808451534741869,Quasar,21.7887,21.51711,20.76459,20.26078,19.91778,21.72542,21.68996,20.64759,20.12274,19.81919,1.835333,0.06794412
203.551316893583,1.02445618970584,Galaxy,22.72067,20.85965,19.36548,18.72424,18.2984,21.30541,19.42726,18.03646,17.46262,17.11272,5.088295,0.06394695
203.552189181967,1.19550035985218,Star,20.06177,19.17405,18.87904,18.75379,18.74491,20.12162,19.22127,18.92911,18.80185,18.89335,1.34919,0.06465637
203.584075114915,1.64377207846054,Galaxy,23.04312,22.28987,20.75773,19.98175,19.38151,22.05725,21.77271,19.66755,18.79128,18.42121,3.693401,0.06744431
202.611704985892,0.523563885321055,Star,17.98318,16.75715,18.49464,16.16276,16.10208,17.97957,16.78174,17.74738,16.16153,16.09109,2.816776,0.070286
202.629616038987,1.80962697318464,Galaxy,20.60244,18.83348,17.92693,17.58496,17.08262,19.78333,18.00683,17.02123,16.58474,16.22739,2.909951,0.06793126
205.042178219108,0.0384846949939898,Galaxy,22.20795,20.25121,19.15455,18.66339,18.22617,20.29072,18.4368,17.34443,16.84842,16.61006,4.972483,0.08365832
205.08153594691,0.307157145752748,Galaxy,20.54556,18.70679,17.8256,17.53336,17.08062,19.63654,17.80707,16.93565,16.51005,16.17943,3.802821,0.08391204
202.44758938114,1.73211112371792,Galaxy,21.69608,20.37392,19.80433,19.3143,18.72159,19.40281,18.17664,17.3838,16.95261,16.56088,8.177505,0.07485697
204.991056107307,1.38854563345445,Galaxy,21.59567,19.65144,18.57917,18.1565,17.88169,20.53079,18.7745,17.74102,17.33404,17.05271,3.3954,0.06645395
204.359207482041,0.631009489850933,Quasar,22.21625,20.73981,20.55464,20.69006,20.89357,21.9564,20.6748,20.61742,20.79802,20.46269,1.555141,0.07389719
204.385265192181,0.606900583690349,Galaxy,23.34327,21.16525,19.44739,18.95041,18.59907,22.10464,20.18093,18.62649,18.13117,17.76793,3.101671,0.07357957
202.137278256583,1.54354742976334,Galaxy,22.8601,21.30655,19.79881,19.2859,18.8545,20.83705,20.05916,18.51671,17.97079,17.95883,4.584893,0.08393381
202.214310704892,1.67615178698385,Galaxy,20.93658,19.01902,18.27183,17.95237,17.49484,19.79924,18.14765,17.25451,16.86293,16.5946,3.204243,0.0756615
203.033221882907,1.52743583824525,Quasar,21.25047,20.75293,20.4957,20.43896,20.29826,21.28447,20.8118,20.64566,20.57074,21.09088,1.022185,0.07465751
204.931927924151,0.389293406990986,Galaxy,23.59833,21.68011,19.99175,19.60247,19.10719,21.37744,20.31036,18.77476,18.05944,17.60545,4.418082,0.08613114
204.931882002746,1.21887795406822,Star,19.67875,18.61109,18.39128,18.33291,18.30148,19.68832,18.64144,18.4372,18.36717,18.37608,1.251102,0.06518296
204.95325557335,1.55113391363032,Quasar,20.37688,19.77502,19.60964,19.65183,19.48297,20.3651,19.78269,19.68995,19.71404,19.72212,1.099751,0.06662441
204.877333472095,0.948359111199876,Galaxy,25.73606,20.96567,19.3787,18.73512,18.37707,25.38048,20.02392,18.36683,17.79218,17.36598,3.402379,0.06761125
204.912628707944,1.74756327463993,Quasar,21.35785,20.82464,20.12088,19.92467,19.70924,21.41844,20.81328,20.24187,19.91764,19.97855,1.058407,0.06668904
202.334595995371,0.706074500234651,Galaxy,20.8127,18.65578,17.7108,17.3079,16.91658,19.68049,17.76394,16.79224,16.35923,15.97428,4.099041,0.08182374
205.2718322675,0.0729531065478724,Galaxy,20.38294,19.65478,19.34023,18.86298,18.8417,19.53234,18.62377,18.13816,17.75792,17.79388,2.731672,0.08200487
205.31652647662,0.215252866404858,Galaxy,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.969462,0.08113072
205.562611232986,1.85748800865084,Galaxy,19.56403,17.44452,16.58732,16.15599,15.71957,16.00331,14.3649,13.57275,13.17938,13.00338,18.28581,0.07848437
205.572698826169,1.18392365602891,Galaxy,24.61577,21.92513,20.17243,19.45545,19.14394,25.2297,20.97729,19.1749,18.48876,18.31017,3.991502,0.08103035
205.4875439844,1.66628889778165,Galaxy,20.81318,19.17436,18.33527,17.90389,17.44892,19.27175,17.66211,16.8941,16.41904,16.16475,4.782962,0.07393638
205.53891059465,1.98082973233363,Galaxy,20.44522,18.50504,17.65451,17.29488,16.96277,18.37522,16.97316,16.12393,15.88458,15.48014,9.271057,0.0710835
203.467828205164,0.273232680359277,Galaxy,23.50591,22.19553,20.50513,19.57259,19.02124,22.03222,21.40836,19.81452,18.84435,18.39954,2.177683,0.07545468
206.212389026899,1.21675225500341,Galaxy,21.08316,19.73315,19.32471,19.0832,19.02275,18.76797,17.66692,17.31794,17.05068,16.90723,6.642193,0.08082125
206.744237566667,1.57704560267028,Galaxy,22.05888,20.24099,18.99644,18.47315,17.96986,20.75046,19.15227,17.74269,17.27502,16.94438,4.105621,0.07060251
202.742484150058,1.45183316267391,Star,19.50245,18.8796,18.81519,18.34686,17.69312,19.57155,18.90085,18.8832,18.41561,17.78827,1.054841,0.07294028
202.758118424029,1.61723055339697,Galaxy,21.14959,19.16658,18.40248,18.02267,17.57201,20.31847,18.3613,17.48771,17.06205,16.74506,2.795277,0.06126294
203.843843248935,0.305157530028012,Galaxy,20.98209,18.99037,18.05258,17.56692,17.22919,20.30595,18.19376,17.22617,16.77523,16.50963,2.602407,0.07186701
205.614778225412,1.4071928997423,Galaxy,25.53176,22.0878,20.51521,19.75026,19.32641,21.59217,20.70876,18.93064,18.37887,18.40637,6.52489,0.07865806
205.615333672218,1.88388664193463,Galaxy,20.07646,18.95411,18.74382,18.47272,18.26557,19.40668,18.21763,17.77193,17.48068,17.24847,2.994429,0.07318973
205.646508512274,1.29049115922881,Quasar,21.5242,20.37016,20.27651,20.28123,20.02441,21.24836,20.37754,20.37349,20.24322,20.40065,1.140755,0.08241398
205.679922451384,0.109443621804509,Galaxy,20.72153,19.30905,18.55819,18.08889,17.78369,19.47006,17.8466,17.1468,16.79539,16.52192,4.950369,0.07925595
206.561755078091,0.27903786747119,Galaxy,21.18065,19.87217,19.25447,18.83383,18.54852,19.18879,18.16929,17.53967,17.19738,17.00399,4.489986,0.07787575
202.791810842005,1.03513159671644,Galaxy,23.71272,21.70263,19.85775,19.21891,18.75181,25.10231,20.77707,19.08526,18.4266,18.08394,3.494476,0.07863582
202.868130683061,1.49487559470876,Galaxy,20.56637,19.15537,18.87414,18.62229,18.0789,17.80125,16.66733,16.1365,15.82591,15.63668,6.60585,0.07094729
202.873097714302,1.44831430068559,Quasar,21.07558,20.76163,20.96288,20.80045,20.38215,21.04661,20.85157,21.17714,20.87844,20.59657,1.035775,0.07250085
206.617678622932,0.23401296566156,Galaxy,23.77893,22.39436,20.64046,19.74633,19.3371,22.53123,21.14653,19.83317,18.88766,18.40612,2.873184,0.07541618
